# file name, method name, nb threads, max Gflops
96_norcm method_8a_multi 1 1.162722
96_norcm method_8a_multi 2 1.816870
96_norcm method_8a_multi 4 2.309898
96_norcm method_8a_multi 8 4.414712
96_norcm method_8a_multi 16 8.317142
96_norcm method_8a_multi 32 15.468680
96_norcm method_8a_multi 64 27.733482
96_norcm method_8a_multi 96 41.537281
96_norcm method_8a_multi 128 54.081280
96_norcm method_8a_multi 160 65.797783
96_norcm method_8a_multi 192 79.645683
96_norcm method_8a_multi 224 93.398933
96_norcm method_8a_multi 244 101.714348
96_norcm method_8a_base 1 0.127316
96_norcm method_8a_base 2 0.162070
96_norcm method_8a_base 4 0.178483
96_norcm method_8a_base 8 0.404130
96_norcm method_8a_base 16 0.900552
96_norcm method_8a_base 32 1.845663
96_norcm method_8a_base 64 3.637147
96_norcm method_8a_base 96 5.648753
96_norcm method_8a_base 128 7.032179
96_norcm method_8a_base 160 8.834936
96_norcm method_8a_base 192 10.330798
96_norcm method_8a_base 224 11.978655
96_norcm method_8a_base 244 12.678706
